1635,1714730974.6373298,60 7F 00 0F 1F 00 40 E0
1714,1714730974.6773636,00 04 00 30 39 26 BC 20
960,1714730974.6902995,87 0B 07 00
452984947,1714730974.7233448,73 00 04 01 09 00 01 00
1635,1714730974.7373314,60 7F 00 0F 1F 00 40 E0
441800632,1714730974.7659254,AE C2 B8 3C E8 49 92 24
960,1714730974.7904115,FD 0C 07 00
1716,1714730974.7909472,01 4E 45 45 34 4D 5A 31
441800633,1714730974.810399,00 00 00 00 00 49 92 24
1725,1714730974.8144662,80 80 80 FE FE 7E 00 00
1635,1714730974.837329,60 7F 00 0F 1F 00 40 E0
960,1714730974.8906,48 0D 07 00
452984947,1714730974.9233477,73 00 04 01 09 00 01 00
1635,1714730974.9373384,60 7F 00 0F 1F 00 40 E0
960,1714730974.9907632,B8 0E 07 00
1716,1714730974.9917178,00 C9 6B 7C 8C 42 41 55
1413,1714730975.012351,7F AC 02 C4 13 08 01 00
1635,1714730975.0373414,60 7F 00 0F 1F 00 40 E0
960,1714730975.090919,0D 0F 07 00
452984947,1714730975.1234126,73 00 04 01 09 00 01 00
1635,1714730975.1373386,60 7F 00 0F 1F 00 40 E0
960,1714730975.1910944,4C 00 07 00
1716,1714730975.1916616,02 37 31 30 30 39 32 31
1148,1714730975.1963813,01 01 00 00 00 00 00 00
1144,1714730975.2193136,09 64 87 5E 61 00 00 00
1635,1714730975.2373104,60 7F 00 0F 1F 00 40 E0
960,1714730975.2913146,F9 01 07 00
1140,1714730975.3145688,09 0C 55 CE 00 00 00 00
1616,1714730975.314884,01 06 44 00 00 00 00 00
441799955,1714730975.3151574,0F FE FF 00 00 00 00 00
1725,1714730975.3154435,80 80 80 FE FE 7E 00 00
452984947,1714730975.3234036,73 00 04 01 09 00 01 00
1635,1714730975.3373137,60 7F 00 0F 1F 00 40 E0
960,1714730975.391413,09 02 07 00
1716,1714730975.3919568,00 C9 6B 7C 8C 42 41 55
1635,1714730975.4373522,60 7F 00 0F 1F 00 40 E0
960,1714730975.4916306,BC 03 07 00
1142,1714730975.4998808,09 64 86 5F 62 00 00 00
452984947,1714730975.5233657,73 00 04 01 09 00 01 00
1635,1714730975.537319,60 7F 00 0F 1F 00 40 E0
1143,1714730975.5759904,09 D4 0B 80 00 00 00 00
960,1714730975.5917535,C6 04 07 00
1716,1714730975.5923185,01 4E 45 45 34 4D 5A 31
1145,1714730975.5993385,29 D5 0B 80 00 00 00 00
1635,1714730975.6373222,60 7F 00 0F 1F 00 40 E0
1714,1714730975.6773229,00 04 00 30 39 26 3C 21
960,1714730975.6919312,73 05 07 00
452984947,1714730975.723423,73 00 04 01 09 00 01 00
1635,1714730975.7374003,60 7F 00 0F 1F 00 40 E0
441800632,1714730975.766017,AE C2 B8 3C E8 49 92 24
960,1714730975.7921262,83 06 07 00
1716,1714730975.7926464,00 C9 6B 7C 8C 42 41 55
441800633,1714730975.8105025,00 00 00 00 00 49 92 24
