,Timestamp,Arbitration_ID,Ext_Identifier,Data_Length_Code,Payload
0,1661255965.456359,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
1,1661255965.464194,389232912,True,8,b'>B\x03\x009\x00\x03\x00'
2,1661255965.4722,1907,False,8,b'\x02>\x00\xcc\xcc\xcc\xcc\xcc'
3,1661255965.481038,2013,False,8,b'\x02~\x00\xaa\xaa\xaa\xaa\xaa'
4,1661255965.486787,1124,False,8,b'\x08\x00\x00\x00\x00\x00\x00\x00'
5,1661255965.502735,960,False,4,b's\x05\x07\x00'
6,1661255965.505185,1907,False,8,b'\x02\x10O\xcc\xcc\xcc\xcc\xcc'
7,1661255965.50684,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
8,1661255965.511469,2013,False,8,b'\x06PO\x002\x01\xf4\xaa'
9,1661255965.521307,1907,False,8,b'\x02>\x00\xcc\xcc\xcc\xcc\xcc'
10,1661255965.524008,389232400,True,3,b'=\xce\x00'
11,1661255965.530992,2013,False,8,b'\x02~\x00\xaa\xaa\xaa\xaa\xaa'
12,1661255965.533368,389236480,True,2,b'\x10\x02'
13,1661255965.536771,1122,False,8,b'\x00\x008\x00\x00\x01\x00\x00'
14,1661255965.536772,1125,False,8,b'\x00\x00\x00\x00\x00\x00\x00\x80'
15,1661255965.536772,316495022,True,8,b'\x00\x00\x00\x00\x00\x00\x00\x7f'
16,1661255965.544383,389226240,True,2,b'\x17\xc2'
17,1661255965.544384,389226752,True,2,b'\x18B'
18,1661255965.553683,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
19,1661255965.555381,389222656,True,2,b'\x14B'
20,1661255965.555382,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
21,1661255965.564836,389222400,True,2,b'\x14\x02'
22,1661255965.583914,452984848,True,8,b'\x10P\x04\x01\x00\x08\x02\x00'
23,1661255965.586761,1123,False,8,b'\x00\x80=\x00\x00\x00\x00\x00'
24,1661255965.586761,380196017,True,8,b'\x00\x00\x00\x00\x00\x00\x00\xfe'
25,1661255965.602836,960,False,4,b'\x83\x06\x07\x00'
26,1661255965.602837,1716,False,8,b'\x00\xc9k|\x8cBAU'
27,1661255965.606409,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
28,1661255965.606409,1156,False,8,b'\xfe\xfb\xef\xbf\xff\xfe\xfb?'
29,1661255965.61406,389227280,True,8,b'\x80\x088\xc38\x03\x00\x00'
30,1661255965.616732,1157,False,8,b'\x00\xc3\xef\xff\x00\x00\x00\x00'
31,1661255965.625821,452984947,True,8,b's@\x04\x0b\x00\x08\x02\x00'
32,1661255965.626854,1158,False,8,b'\xfe\xff\xff\xf7\xff\xff\xffA'
33,1661255965.636997,1124,False,8,"b'\xdb\xd4W\x80""<\x13\x00'"
34,1661255965.64682,380195864,True,8,b'\x0e\xf8\x0f\xfb\xef\xff\x0bI'
35,1661255965.653766,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
36,1661255965.655847,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
37,1661255965.664206,389227280,True,5,b'\xc0\x00\x00\x00\x00'
38,1661255965.673012,389230864,True,3,b'<^\x00'
