,Timestamp,Arbitration_ID,Ext_Identifier,Data_Length_Code,Payload
1496,1660219195.327121,888,False,8,b'\xf8\xff\xff\xff\xfe\x0f\x00\x00'
1497,1660219195.327122,891,False,8,b'\x00\x00\x00\x00\x00\x00\x00\x00'
1498,1660219195.328048,1016,False,8,b'\x00\x00\x00\x02\x00\x00\x00\x00'
1499,1660219195.328049,1364,False,8,b'\x00\xff\xff\x1f\x00\x00\x00\x00'
1500,1660219195.331707,452984848,True,8,b'\x10@\x04\x01\x00\x08\x00\x00'
1501,1660219195.356581,960,False,4,b'6\x07\x07\x00'
1502,1660219195.362431,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
1503,1660219195.362434,1123,False,8,b'\x00\x80=\x00\x00\x00\x00\x00'
1504,1660219195.363243,1140,False,8,b'\x00\x18\xee\xde\x00\x00\x00\x00'
1505,1660219195.363244,380196007,True,8,b'\x00\x00\x00\x00\x00\x00\x00\x00'
1506,1660219195.363245,380196017,True,8,b'\x00\x00\x00\x00\x00\x00\x00\xfe'
1507,1660219195.363247,401604723,True,8,b' s\x00\x00\x00\xff\x01\x80'
1508,1660219195.364431,441799848,True,8,b'dce\x01;Pn\x03'
1509,1660219195.364433,441799974,True,8,b'\x00\x00\x00\x00\x00\x00\x00\xff'
1510,1660219195.364434,441799975,True,8,b'\x00\x00\x00\x00\x00\x00\x00\xff'
1511,1660219195.366998,1635,False,8,b'`\x00\x00\x0f\x00\x00\x00\x00'
1512,1660219195.372861,1153,False,8,"b'\x00\x00\x00""\x00\x00\xe0\xfe'"
1513,1660219195.382192,1714,False,8,b'\x00\x00\x000\x11\x1c\xd4\x08'
1514,1660219195.383122,1156,False,8,b'\xfe\xfb\xef\xbf\xff\xfe\xfb?'
1515,1660219195.3929,1157,False,8,b'\x00\xc0\xef\xff\x00\x00\x00\x00'
1516,1660219195.395445,389236480,True,2,b'\x10\x02'
1517,1660219195.402075,401604624,True,8,b' \x10\x00\x00\x00\x00\x85\x80'
1518,1660219195.402076,1158,False,8,b'\xfe\xff\xff\xf7\xff\xff\xffA'
1519,1660219195.412552,389232400,True,8,b'=\xc2\x03\x007\x00\x03\x03'
1520,1660219195.412554,779,False,8,b'o\x00\x01\x00\x00\x00\x00\x80'
1521,1660219195.412555,389231376,True,8,b'\x80\x08<\xc38\x07\xe8\xe0'
1522,1660219195.412556,1124,False,8,"b'\xdb\xd4W\x80""<\x13\x00'"
1523,1660219195.413354,1616,False,8,b'\x01\x84C\x00\x00\x00\x00\x00'
1524,1660219195.422993,380195864,True,8,b'\x0e\xf8\x0f\xfb\xef\xffo/'
1525,1660219195.432901,441799829,True,8,b'\x06\x00\x00\x00\x02\x00\x00\x00'
