389232912,1714730974.7284582,B0 2C 3E 5A 00 FF FF FF
1156,1714730974.7343426,FE FB EF BF FF FE 03 40
1635,1714730974.736964,60 7F 00 0F 1F 00 40 E0
389232912,1714730974.7375193,4E 63 00 FF FF FF FF 00
779,1714730974.7440445,3F 0F 00 00 18 00 00 58
1157,1714730974.744291,00 C3 2F 0F 0D 04 23 56
389230864,1714730974.7469873,80 08 4C 6A 00 00 00 00
389232912,1714730974.7476468,81 8D 4E 41 03 00 39 00
1158,1714730974.7543235,00 00 00 00 00 00 00 00
389232912,1714730974.7579231,0E 42 03 00 39 00 03 01
1123,1714730974.7642946,00 80 09 00 00 00 00 00
389232912,1714730974.7678168,90 08 3E 43 78 03 FF FF
389233664,1714730974.769294,1F 02
389232896,1714730974.7702942,1E 41
389237264,1714730974.7732947,D0 FF 00 00 FE FF FE FF
380195864,1714730974.7743645,0E F8 0F 03 00 00 1E 25
389230864,1714730974.7767,C0 00 00 00 00
389232912,1714730974.7784164,3E 44 0A
389232912,1714730974.787417,3E 4E 00 00 00
389229072,1714730974.788075,80 05 3A 90 00 00 00 00
960,1714730974.7901697,FD 0C 07 00
1716,1714730974.790606,01 4E 45 45 34 4D 5A 31
779,1714730974.7955072,3F 00 00 00 18 00 00 58
389232912,1714730974.7974617,3E 4F 00
389232912,1714730974.8079257,3E 50 FF FF FF FF 00
1124,1714730974.8143222,00 00 20 00 00 00 00 00
401604723,1714730974.8147023,21 73 00 00 00 FF 01 C0
441799848,1714730974.8149643,05 00 FF 3F 8F E7 22 56
389232912,1714730974.8178654,4E 51 FF FF 00 FF FF 00
822,1714730974.819866,FE FE
1283,1714730974.8219676,8C 0F 82 00 00 25 00 00
389237264,1714730974.8242936,C1 00 00 00 00 00 00
1153,1714730974.8245094,10 00 00 22 00 00 E0 FE
389232912,1714730974.8284168,3E 52 FF FF 00 FF FF 00
389222672,1714730974.8342931,34 5A 02 01 01 00 00 00
1720,1714730974.83657,2E 29 F8 F9 FF FE 00 00
1635,1714730974.8369677,60 7F 00 0F 1F 00 40 E0
389232912,1714730974.8374918,3E 53 FF FF 00 FF FF 00
389229072,1714730974.8385031,C0 00
452984848,1714730974.8453414,10 50 04 41 00 08 01 00
779,1714730974.8464901,3F 01 00 00 18 00 00 58
